medicamento,especie,dose_recomendada_mg_kg,concentracao_mg_ml
Cefalexina,Equina,20.0,50.0
Cefalexina,Bovino,15.0,50.0
Cefalexina,Mamíferos,22.0,50.0
Cefalexina,Aves,8.0,50.0
Cefalexina,Répteis,10.0,50.0
Cefalexina,Roedores,18.0,50.0
Ceftriaxona,Canina,25.0,100.0
Ceftriaxona,Felina,20.0,100.0
Ceftriaxona,Equina,15.0,100.0
Ceftriaxona,Bovino,10.0,100.0
Ceftriaxona,Mamíferos,18.0,100.0
Ceftriaxona,Aves,5.0,100.0
Ceftriaxona,Répteis,7.0,100.0
Ceftriaxona,Roedores,12.0,100.0
Cloridrato de tramadol,Canina,4.0,50.0
Cloridrato de tramadol,Felina,2.0,50.0
Cloridrato de tramadol,Equina,1.5,50.0
Cloridrato de tramadol,Bovino,1.0,50.0
Cloridrato de tramadol,Mamíferos,3.5,50.0
Cloridrato de tramadol,Aves,0.8,50.0
Cloridrato de tramadol,Répteis,1.0,50.0
Cloridrato de tramadol,Roedores,2.0,50.0
Cloranfenicol,Canina,50.0,100.0
Cloranfenicol,Felina,40.0,100.0
Cloranfenicol,Equina,30.0,100.0
Cloranfenicol,Bovino,20.0,100.0
Cloranfenicol,Mamíferos,45.0,100.0
Cloranfenicol,Aves,10.0,100.0
Cloranfenicol,Répteis,15.0,100.0
Cloranfenicol,Roedores,25.0,100.0
Ciprofloxacina,Canina,10.0,50.0
Ciprofloxacina,Felina,12.0,50.0
Ciprofloxacina,Equina,8.0,50.0
Ciprofloxacina,Bovino,6.0,50.0
Ciprofloxacina,Mamíferos,9.0,50.0
Ciprofloxacina,Aves,3.0,50.0
Ciprofloxacina,Répteis,4.0,50.0
Ciprofloxacina,Roedores,6.0,50.0
Clindamicina,Canina,11.0,25.0
Clindamicina,Felina,10.0,25.0
Clindamicina,Equina,8.0,25.0
Clindamicina,Bovino,6.0,25.0
Clindamicina,Mamíferos,9.0,25.0
Clindamicina,Aves,2.5,25.0
Clindamicina,Répteis,3.0,25.0
Clindamicina,Roedores,5.0,25.0
Dantroleno,Canina,2.0,10.0
Dantroleno,Felina,2.5,10.0
Dantroleno,Equina,4.0,10.0
Dantroleno,Bovino,3.5,10.0
Dantroleno,Mamíferos,2.0,10.0
Dantroleno,Aves,1.5,10.0
Dantroleno,Répteis,1.0,10.0
Dantroleno,Roedores,1.2,10.0
